epoch_number,train_accuracy,validation_accuracy,train_loss,learning_rate
0,75.89285714285714,71.875,0.6163803339004517,0.002
1,79.01785714285714,71.875,0.5277301669120789,0.002
2,79.01785714285714,71.875,0.5164160132408142,0.002
3,79.01785714285714,71.875,0.5164913535118103,0.002
4,79.01785714285714,71.875,0.5135457515716553,0.002
5,79.01785714285714,71.875,0.5132214426994324,0.002
6,79.01785714285714,71.875,0.5152199268341064,0.002
7,79.01785714285714,71.875,0.5144602060317993,0.002
8,79.01785714285714,71.875,0.5147026777267456,0.002
9,79.01785714285714,71.875,0.5141912698745728,0.002
10,79.01785714285714,71.875,0.512037992477417,0.002
11,79.01785714285714,71.875,0.5145562887191772,0.002
12,79.01785714285714,71.875,0.5134084224700928,0.002
13,79.01785714285714,71.875,0.5115004777908325,0.002
14,79.01785714285714,71.875,0.5138660073280334,0.002
15,79.01785714285714,71.875,0.5152521133422852,0.002
16,79.01785714285714,71.875,0.512706995010376,0.002
17,79.01785714285714,71.875,0.5135202407836914,0.002
18,79.01785714285714,71.875,0.5161951184272766,0.002
19,79.01785714285714,71.875,0.5108085870742798,0.002
20,79.01785714285714,71.875,0.5132606029510498,0.002
21,79.01785714285714,71.875,0.5119706392288208,0.002
22,79.01785714285714,71.875,0.5123294591903687,0.002
23,79.01785714285714,71.875,0.5126439332962036,0.002
24,79.01785714285714,71.875,0.5141575336456299,0.002
25,79.01785714285714,71.875,0.5149381160736084,0.002
26,79.01785714285714,71.875,0.5110523104667664,0.002
27,79.01785714285714,71.875,0.5116977095603943,0.002
28,79.01785714285714,71.875,0.5099105834960938,0.002
29,79.01785714285714,71.875,0.5135140419006348,0.002
30,79.01785714285714,71.875,0.5129823088645935,0.002
31,79.01785714285714,71.875,0.5119785666465759,0.002
32,79.01785714285714,71.875,0.5111500024795532,0.002
33,79.01785714285714,71.875,0.5114796161651611,0.002
34,79.01785714285714,71.875,0.5103392004966736,0.002
35,79.01785714285714,71.875,0.5081493258476257,0.002
36,79.01785714285714,71.875,0.5122891664505005,0.002
37,79.01785714285714,71.875,0.5083860158920288,0.002
38,79.01785714285714,71.875,0.5114448070526123,0.002
39,79.01785714285714,71.875,0.5083690881729126,0.002
